display_id,source_id,dataset,status
S0077,chsims_video_0045_0002,chsims,active
S0078,mosi_atnd_PF-Lbs_9,mosi,active
S0079,iemocap_Ses01M_script03_2_M022,iemocap,active
S0080,meld_dia312_utt11,meld,active
S0081,chsims_video_0024_0042,chsims,active
S0082,iemocap_Ses01M_script02_1_F017,iemocap,active
S0083,iemocap_Ses04M_script02_2_F031,iemocap,active
S0084,mustard_2_493,mustard,active
S0085,meld_dia66_utt7,meld,active
S0086,mosi_yvsjCA6Y5Fc_7,mosi,active
S0087,iemocap_Ses03M_impro07_M023,iemocap,active
S0088,chsims_video_0042_0014,chsims,active
S0089,chsims_aqgy3_0004_00031,chsims,active
S0090,chsims_aqgy5_0007_00014,chsims,active
S0091,mosi_Bfr499ggo-0_21,mosi,active
S0092,iemocap_Ses01M_script01_2_M002,iemocap,active
S0093,iemocap_Ses01M_script02_2_F013,iemocap,active
S0094,mosi_fvVhgmXxadc_2,mosi,active
S0095,chsims_video_0053_0016,chsims,active
S0096,mosi_8qrpnFRGt2A_12,mosi,active
S0097,iemocap_Ses03F_script01_1_F034,iemocap,active
S0098,chsims_video_0054_0069,chsims,active
S0099,mosi_I5y0__X72p0_34,mosi,active
S0100,iemocap_Ses01M_impro04_M003,iemocap,active
S0101,meld_dia651_utt8,meld,active
S0102,mosi_9qR7uwkblbs_24,mosi,active
S0103,iemocap_Ses04M_impro02_F030,iemocap,active
S0104,meld_dia138_utt0,meld,active
S0105,iemocap_Ses01F_script03_1_F028,iemocap,active
S0106,iemocap_Ses05F_script01_3_M014,iemocap,active
S0107,mosi_BioHAh1qJAQ_16,mosi,active
S0108,iemocap_Ses03M_script02_2_M031,iemocap,active
S0109,mosi_Vj1wYRQjB-o_6,mosi,active
S0110,meld_dia810_utt12,meld,active
S0111,meld_dia706_utt8,meld,active
S0112,chsims_aqgy4_0010_00013,chsims,active
S0113,iemocap_Ses02F_script03_1_F021,iemocap,active
S0114,iemocap_Ses04F_impro07_M009,iemocap,active
S0115,mosi_dq3Nf_lMPnE_11,mosi,active
S0116,mosi_Sqr0AcuoNnk_9,mosi,active
S0117,mustard_1_5880,mustard,active
S0118,chsims_video_0056_0050,chsims,active
S0119,chsims_video_0024_0093,chsims,active
S0120,meld_dia1030_utt3,meld,active
S0121,iemocap_Ses05F_script01_1_F036,iemocap,active
S0122,chsims_aqgy5_0002_00011,chsims,active
S0123,mosi_Nzq88NnDkEk_16,mosi,active
S0124,meld_dia204_utt12,meld,active
S0125,iemocap_Ses02F_impro04_F003,iemocap,active
S0126,chsims_aqgy4_0016_00007,chsims,active
S0127,mosi_jUzDDGyPkXU_17,mosi,active
S0128,chsims_video_0041_0008,chsims,active
S0129,meld_dia468_utt1,meld,active
S0130,iemocap_Ses04M_impro02_M010,iemocap,active
S0131,iemocap_Ses04F_impro05_F003,iemocap,active
S0132,meld_dia57_utt3,meld,active
S0133,mosi_1iG0909rllw_2,mosi,active
S0134,meld_dia120_utt2,meld,active
S0135,chsims_csbgs2_0001_00029,chsims,active
S0136,meld_dia649_utt15,meld,active
S0137,iemocap_Ses01M_script01_1_F027,iemocap,active
S0138,mosi_tIrG4oNLFzE_14,mosi,active
S0139,mustard_2_527,mustard,active
S0140,meld_dia112_utt4,meld,active
S0141,iemocap_Ses02F_script02_1_M041,iemocap,active
S0142,mustard_2_548,mustard,active
S0143,iemocap_Ses02M_script02_2_F036,iemocap,active
S0144,chsims_video_0051_0029,chsims,active
S0145,meld_dia53_utt2,meld,active
S0146,chsims_aqgy5_0032_00015,chsims,active
S0147,chsims_video_0046_0060,chsims,active
S0148,chsims_video_0054_0137,chsims,active
S0149,chsims_video_0022_0021,chsims,active
S0150,iemocap_Ses03M_impro02_M012,iemocap,active
S0151,chsims_video_0055_0015,chsims,active
S0152,meld_dia875_utt6,meld,active
S0153,mosi_d6hH302o4v8_29,mosi,active
S0154,iemocap_Ses02F_impro01_F017,iemocap,active
S0155,mustard_1_12083,mustard,active
S0156,chsims_video_0001_0025,chsims,active
S0157,meld_dia1029_utt7,meld,active
S0158,iemocap_Ses02M_impro01_M009,iemocap,active
S0159,chsims_video_0023_0052,chsims,active
S0160,mosi_ob23OKe5a9Q_10,mosi,active
S0161,mustard_1_6020,mustard,active
S0162,mosi_9qR7uwkblbs_18,mosi,active
S0163,chsims_video_0034_0015,chsims,active
S0164,meld_dia960_utt4,meld,active
S0165,mosi_k5Y_838nuGo_25,mosi,active
S0166,mosi_GWuJjcEuzt8_3,mosi,active
S0167,mustard_1_10496,mustard,active
S0168,iemocap_Ses02F_impro03_F013,iemocap,active
S0169,iemocap_Ses02F_impro05_F008,iemocap,active
S0170,chsims_video_0024_0037,chsims,active
S0171,iemocap_Ses03F_script01_1_F028,iemocap,active
S0172,mustard_1_11697,mustard,active
S0173,iemocap_Ses03M_impro06_F010,iemocap,active
S0174,chsims_aqgy4_0001_00026,chsims,active
S0175,mosi_X3j2zQgwYgE_9,mosi,active
S0176,iemocap_Ses03M_impro05a_M015,iemocap,active
S0177,iemocap_Ses02F_script02_2_M028,iemocap,active
S0178,chsims_aqgy5_0013_00005,chsims,active
S0179,chsims_video_0056_0037,chsims,active
S0180,mosi_iiK8YX8oH1E_7,mosi,active
S0181,chsims_video_0056_0065,chsims,active
S0182,chsims_video_0024_0021,chsims,active
S0183,iemocap_Ses02M_impro02_F002,iemocap,active
S0184,mosi_Dg_0XKD0Mf4_14,mosi,active
S0185,chsims_video_0060_0039,chsims,active
S0186,chsims_aqgy5_0028_00043,chsims,active
S0187,chsims_aqgy4_0005_00008_0,chsims,active
S0188,iemocap_Ses03M_script03_2_M044,iemocap,active
S0189,meld_dia665_utt2,meld,active
S0190,iemocap_Ses03M_impro03_F040,iemocap,active
S0191,iemocap_Ses03F_impro03_F015,iemocap,active
S0192,meld_dia571_utt11,meld,active
S0193,mosi_8d-gEyoeBzc_5,mosi,active
S0194,meld_dia978_utt2,meld,active
S0195,iemocap_Ses04F_script03_1_F026,iemocap,active
S0196,meld_dia536_utt12,meld,active
S0197,chsims_video_0028_0007,chsims,active
S0198,meld_dia347_utt5,meld,active
S0199,iemocap_Ses05M_script03_2_M000,iemocap,active
S0200,mosi_GWuJjcEuzt8_2,mosi,active
S0201,meld_dia232_utt5,meld,active
S0202,meld_dia99_utt7,meld,active
S0203,meld_dia67_utt13,meld,active
S0204,meld_dia965_utt0,meld,active
S0205,mosi_7JsX8y1ysxY_17,mosi,active
S0206,mustard_1_11913,mustard,active
S0207,chsims_aqgy5_0031_00013,chsims,active
S0208,chsims_video_0009_0024,chsims,active
S0209,mosi_aiEXnCPZubE_24,mosi,active
S0210,mosi_HEsqda8_d0Q_23,mosi,active
S0211,chsims_video_0017_0016,chsims,active
S0212,meld_dia25_utt10,meld,active
S0213,mosi_Bfr499ggo-0_5,mosi,active
S0214,meld_dia49_utt12,meld,active
S0215,meld_dia739_utt10,meld,active
S0216,mosi_v0zCBqDeKcE_3,mosi,active
S0217,meld_dia820_utt18,meld,active
S0218,iemocap_Ses02F_script01_1_M037,iemocap,active
S0219,chsims_video_0059_0003,chsims,active
S0220,mosi_jUzDDGyPkXU_5,mosi,active
S0221,mosi_1iG0909rllw_18,mosi,active
S0222,mosi_iiK8YX8oH1E_14,mosi,active
S0223,iemocap_Ses03M_impro03_M005,iemocap,active
S0224,meld_dia344_utt3,meld,active
S0225,meld_dia182_utt11,meld,active
S0226,mustard_1_8505,mustard,active
S0227,meld_dia281_utt6,meld,active
S0228,meld_dia967_utt4,meld,active
S0229,chsims_aqgy5_0020_00002,chsims,active
S0230,mosi_cXypl4FnoZo_19,mosi,active
S0231,meld_dia632_utt5,meld,active
S0232,mosi_rnaNMUZpvvg_5,mosi,active
S0233,iemocap_Ses05M_impro02_M019,iemocap,active
S0234,meld_dia948_utt9,meld,active
S0235,chsims_video_0017_0013,chsims,active
S0236,chsims_video_0013_0031,chsims,active
S0237,meld_dia670_utt1,meld,active
S0238,iemocap_Ses01F_script03_1_F011,iemocap,active
S0239,mosi_yvsjCA6Y5Fc_16,mosi,active
S0240,iemocap_Ses04F_script01_1_F038,iemocap,active
S0241,mustard_2_429,mustard,active
S0242,meld_dia542_utt4,meld,active
S0243,mosi_ob23OKe5a9Q_5,mosi,active
S0244,chsims_aqgy3_0001_00010,chsims,active
S0245,mustard_2_376,mustard,active
S0246,meld_dia638_utt4,meld,active
S0247,chsims_aqgy5_0020_00003,chsims,active
S0248,mustard_1_5617,mustard,active
S0249,meld_dia447_utt2,meld,active
S0250,mosi_cXypl4FnoZo_29,mosi,active
S0251,meld_dia961_utt3,meld,active
S0252,iemocap_Ses02F_script03_1_F009,iemocap,active
S0253,iemocap_Ses03M_script03_1_F028,iemocap,active
S0254,mosi_wMbj6ajWbic_1,mosi,active
S0255,mosi__dI--eQ6qVU_19,mosi,active
S0256,iemocap_Ses05F_script01_3_M019,iemocap,active
S0257,chsims_video_0005_0009,chsims,active
S0258,mustard_1_11098,mustard,active
S0259,mosi_8qrpnFRGt2A_6,mosi,active
S0260,iemocap_Ses04M_impro03_F002,iemocap,active
S0261,mosi_aiEXnCPZubE_9,mosi,active
S0262,chsims_aqgy5_0005_00031,chsims,active
S0263,meld_dia1022_utt12,meld,active
S0264,meld_dia542_utt2,meld,active
S0265,iemocap_Ses03F_impro07_M018,iemocap,active
S0266,chsims_video_0042_0012,chsims,active
S0267,chsims_aqgy3_0004_00000,chsims,active
S0268,iemocap_Ses02F_script02_1_M039,iemocap,active
S0269,chsims_aqgy5_0031_00008,chsims,active
S0270,meld_dia358_utt13,meld,active
S0271,chsims_aqgy5_0028_00042,chsims,active
S0272,iemocap_Ses04F_script01_2_M017,iemocap,active
S0273,chsims_video_0024_0065,chsims,active
S0274,iemocap_Ses01F_script03_2_M003,iemocap,active
S0275,chsims_video_xjzw_00003,chsims,active
S0276,mosi_BvYR0L6f2Ig_6,mosi,active
S0277,iemocap_Ses05M_script01_1_M010,iemocap,active
S0278,chsims_aqgy3_0007_00002,chsims,active
S0279,iemocap_Ses04F_script03_1_F024,iemocap,active
S0280,mustard_2_622,mustard,active
S0281,chsims_video_0022_0006,chsims,active
S0282,mosi_cW1FSBF59ik_11,mosi,active
S0283,meld_dia960_utt7,meld,active
S0284,meld_dia893_utt15,meld,active
S0285,chsims_test13_00003,chsims,active
S0286,mustard_2_494,mustard,active
S0287,iemocap_Ses04F_impro03_M009,iemocap,active
S0288,iemocap_Ses01M_impro05_M027,iemocap,active
S0289,meld_dia64_utt4,meld,active
S0290,chsims_video_0051_0023,chsims,active
S0291,iemocap_Ses02F_script03_2_F013,iemocap,active
S0292,meld_dia429_utt5,meld,active
S0293,chsims_aqgy5_0032_00017,chsims,active
S0294,iemocap_Ses05F_script01_2_F006,iemocap,active
S0295,iemocap_Ses04M_script01_1_F038,iemocap,active
S0296,mustard_2_247,mustard,active
S0297,mosi_vvZ4IcEtiZc_10,mosi,active
S0298,mosi_HEsqda8_d0Q_14,mosi,active
S0299,meld_dia119_utt9,meld,active
S0300,iemocap_Ses01F_script03_2_F027,iemocap,active
S0301,iemocap_Ses04M_script02_2_F014,iemocap,active
S0302,iemocap_Ses04M_script03_2_F024,iemocap,active
S0303,mosi_9J25DZhivz8_10,mosi,active
S0304,iemocap_Ses04F_script01_3_F016,iemocap,active
S0305,meld_dia1032_utt9,meld,active
S0306,iemocap_Ses01F_script02_1_F017,iemocap,active
S0307,chsims_video_0060_0008,chsims,active
S0308,iemocap_Ses03M_impro01_F007,iemocap,active
S0309,chsims_video_0032_0007,chsims,active
S0310,chsims_video_0040_0042,chsims,active
S0311,mosi_9J25DZhivz8_18,mosi,active
S0312,meld_dia515_utt2,meld,active
S0313,meld_dia69_utt5,meld,active
S0314,iemocap_Ses05M_script03_1_F029,iemocap,active
S0315,iemocap_Ses01M_script01_1_M013,iemocap,active
S0316,iemocap_Ses02M_script01_1_F028,iemocap,active
S0317,meld_dia806_utt13,meld,active
S0318,mosi_nzpVDcQ0ywM_19,mosi,active
S0319,mosi_73jzhE8R1TQ_19,mosi,active
S0320,mosi_G6GlGvlkxAQ_22,mosi,active
S0321,iemocap_Ses02M_script01_1_F027,iemocap,active
S0322,iemocap_Ses04F_script01_2_F012,iemocap,active
S0323,iemocap_Ses02M_script02_1_M042,iemocap,active
S0324,meld_dia3_utt1,meld,active
S0325,iemocap_Ses04M_script01_3_F025,iemocap,active
S0326,iemocap_Ses02F_impro03_M012,iemocap,active
S0327,chsims_video_0025_0002,chsims,active
S0328,mosi_2WGyTLYerpo_17,mosi,active
S0329,chsims_video_0038_0025,chsims,active
S0330,mustard_2_174,mustard,active
S0331,iemocap_Ses05M_script01_2_M016,iemocap,active
S0332,mustard_2_109,mustard,active
S0333,meld_dia839_utt13,meld,active
S0334,chsims_video_0025_0014,chsims,active
S0335,mosi_f_pcplsH_V0_5,mosi,active
S0336,chsims_test12_00016,chsims,active
S0337,meld_dia714_utt1,meld,active
S0338,chsims_video_0023_0011,chsims,active
S0339,mustard_1_1470,mustard,active
S0340,chsims_aqgy5_0033_00014,chsims,active
S0341,chsims_aqgy4_0024_00010,chsims,active
S0342,iemocap_Ses05F_impro04_F009,iemocap,active
S0343,iemocap_Ses03F_script02_2_F038,iemocap,active
S0344,mosi_cW1FSBF59ik_18,mosi,active
S0345,iemocap_Ses04M_impro05_F041,iemocap,active
S0346,chsims_aqgy5_0005_00042,chsims,active
S0347,iemocap_Ses02M_script01_1_F000,iemocap,active
S0348,mosi_wMbj6ajWbic_18,mosi,active
S0349,iemocap_Ses01M_impro03_F012,iemocap,active
S0350,meld_dia455_utt7,meld,active
S0351,chsims_video_0023_0014,chsims,active
S0352,mosi_rnaNMUZpvvg_1,mosi,active
S0353,chsims_video_0005_0010,chsims,active
S0354,iemocap_Ses02M_script01_3_F027,iemocap,active
S0355,meld_dia574_utt7,meld,active
S0356,meld_dia1036_utt16,meld,active
S0357,chsims_video_0010_0009,chsims,active
S0358,iemocap_Ses03M_script03_1_F011,iemocap,active
S0359,chsims_aqgy4_0020_00005,chsims,active
S0360,iemocap_Ses05F_impro01_M015,iemocap,active
S0361,iemocap_Ses01M_impro03_F023,iemocap,active
S0362,iemocap_Ses01M_script03_1_F024,iemocap,active
S0363,mosi_9qR7uwkblbs_25,mosi,active
S0364,chsims_video_0038_0022,chsims,active
S0365,chsims_video_0035_0035,chsims,active
S0366,mosi_HEsqda8_d0Q_26,mosi,active
S0367,meld_dia279_utt2,meld,active
S0368,meld_dia723_utt4,meld,active
S0369,mosi_jUzDDGyPkXU_7,mosi,active
S0370,meld_dia629_utt7,meld,active
S0371,iemocap_Ses05M_script02_1_M028,iemocap,active
S0372,iemocap_Ses04M_script03_1_F027,iemocap,active
S0373,meld_dia615_utt22,meld,active
S0374,meld_dia331_utt0,meld,active
S0375,iemocap_Ses04M_impro02_M026,iemocap,active
S0376,chsims_aqgy5_0007_00020,chsims,active
S0377,chsims_video_0015_0025,chsims,active
S0378,meld_dia366_utt8,meld,active
S0379,iemocap_Ses05F_impro01_M007,iemocap,active
S0380,chsims_aqgy5_0007_00012,chsims,active
S0381,chsims_video_0009_0021,chsims,active
S0382,meld_dia150_utt1,meld,active
S0383,chsims_video_0005_0017,chsims,active
S0384,mosi_cM3Yna7AavY_16,mosi,active
S0385,mosi_cW1FSBF59ik_20,mosi,active
S0386,meld_dia821_utt4,meld,active
S0387,mosi_yvsjCA6Y5Fc_19,mosi,active
S0388,meld_dia853_utt7,meld,active
S0389,iemocap_Ses03F_impro07_F003,iemocap,active
S0390,meld_dia93_utt0,meld,active
S0391,iemocap_Ses01M_impro01_F028,iemocap,active
S0392,mustard_1_1189,mustard,active
S0393,meld_dia910_utt12,meld,active
S0394,mosi_LSi-o-IrDMs_11,mosi,active
S0395,chsims_video_0057_0014,chsims,active
S0396,meld_dia725_utt2,meld,active
S0397,iemocap_Ses01M_script01_2_F008,iemocap,active
S0398,chsims_aqgy5_0010_00011,chsims,active
S0399,mustard_2_131,mustard,active
S0400,mosi_aiEXnCPZubE_7,mosi,active
S0401,meld_dia24_utt0,meld,active
S0402,iemocap_Ses04M_impro07_M031,iemocap,active
S0403,meld_dia202_utt13,meld,active
S0404,meld_dia212_utt3,meld,active
S0405,meld_dia33_utt0,meld,active
S0406,chsims_aqgy5_0007_00037,chsims,active
S0407,meld_dia223_utt5,meld,active
S0408,mosi_tStelxIAHjw_2,mosi,active
S0409,chsims_aqgy5_0024_00014,chsims,active
S0410,mustard_1_6769,mustard,active
S0411,chsims_aqgy4_0001_00018,chsims,active
S0412,meld_dia823_utt6,meld,active
S0413,mosi_etzxEpPuc6I_9,mosi,active
S0414,iemocap_Ses03M_impro08b_F006,iemocap,active
S0415,iemocap_Ses04F_impro07_M042,iemocap,active
S0416,iemocap_Ses05F_impro03_M006,iemocap,active
S0417,iemocap_Ses02F_script01_1_F042,iemocap,active
S0418,iemocap_Ses04F_script02_2_F033,iemocap,active
S0419,iemocap_Ses01F_script01_1_M036,iemocap,active
S0420,mosi_BvYR0L6f2Ig_13,mosi,active
S0421,iemocap_Ses02M_script02_2_F002,iemocap,active
S0422,chsims_video_0009_0022,chsims,active
S0423,chsims_aqgy4_0018_00016,chsims,active
S0424,iemocap_Ses03F_impro02_M019,iemocap,active
S0425,iemocap_Ses03F_impro02_F037,iemocap,active
S0426,meld_dia477_utt11,meld,active
S0427,iemocap_Ses05M_impro02_F017,iemocap,active
S0428,iemocap_Ses02F_script03_2_M002,iemocap,active
S0429,iemocap_Ses01M_script01_2_F014,iemocap,active
S0430,chsims_video_0028_0004,chsims,active
S0431,chsims_video_0006_0004,chsims,active
S0432,mosi_1DmNV9C1hbY_1,mosi,active
S0433,meld_dia474_utt4,meld,active
S0434,meld_dia455_utt14,meld,active
S0435,chsims_video_0032_0001,chsims,active
S0436,meld_dia264_utt15,meld,active
S0437,chsims_video_0048_0020,chsims,active
S0438,mosi_d6hH302o4v8_36,mosi,active
S0439,iemocap_Ses01F_script03_2_M030,iemocap,active
S0440,iemocap_Ses04F_script01_3_M044,iemocap,active
S0441,meld_dia658_utt10,meld,active
S0442,mosi_phBUpBr1hSo_15,mosi,active
S0443,mustard_1_4544,mustard,active
S0444,meld_dia39_utt0,meld,active
S0445,iemocap_Ses01F_script02_2_M002,iemocap,active
S0446,chsims_video_0055_0009,chsims,active
S0447,iemocap_Ses01F_impro05_M030,iemocap,active
S0448,mosi_Iu2PFX3z_1s_7,mosi,active
S0449,chsims_video_0025_0044,chsims,active
S0450,meld_dia735_utt6,meld,active
S0451,meld_dia983_utt3,meld,active
S0452,mosi_2WGyTLYerpo_13,mosi,active
S0453,meld_dia733_utt12,meld,active
S0454,chsims_video_0027_0034,chsims,active
S0455,iemocap_Ses05M_impro02_F018,iemocap,active
S0456,iemocap_Ses04F_script02_2_F012,iemocap,active
S0457,mosi_HEsqda8_d0Q_5,mosi,active
S0458,chsims_aqgy5_0009_00033,chsims,active
S0459,chsims_video_0030_0022,chsims,active
S0460,iemocap_Ses03F_impro08_M018,iemocap,active
S0461,iemocap_Ses03F_impro08_M026,iemocap,active
S0462,chsims_aqgy4_0004_00006,chsims,active
S0463,iemocap_Ses03F_impro06_F019,iemocap,active
S0464,meld_dia585_utt2,meld,active
S0465,chsims_aqgy4_0001_00043,chsims,active
S0466,meld_dia1008_utt1,meld,active
S0467,mosi_Oz06ZWiO20M_23,mosi,active
S0468,chsims_aqgy4_0005_00007,chsims,active
S0469,chsims_video_xjzw_00020,chsims,active
S0470,mustard_1_9971,mustard,active
S0471,meld_dia184_utt13,meld,active
S0472,chsims_video_xjzw_00072,chsims,active
S0473,chsims_aqgy5_0018_00019,chsims,active
S0474,chsims_video_0024_0075,chsims,active
S0475,iemocap_Ses01M_script03_1_F019,iemocap,active
S0476,meld_dia760_utt3,meld,active
S0477,mosi_X3j2zQgwYgE_5,mosi,active
S0478,meld_dia1017_utt3,meld,active
S0479,mosi_9T9Hf74oK10_10,mosi,active
S0480,mosi_W8NXH0Djyww_21,mosi,active
S0481,meld_dia803_utt6,meld,active
S0482,mosi_5W7Z1C_fDaE_10,mosi,active
S0483,chsims_video_0054_0168,chsims,active
S0484,iemocap_Ses01M_script02_2_F031,iemocap,active
S0485,meld_dia176_utt10,meld,active
S0486,chsims_aqgy5_0003_00018,chsims,active
S0487,meld_dia913_utt8,meld,active
S0488,meld_dia871_utt2,meld,active
S0489,chsims_aqgy5_0031_00041,chsims,active
S0490,chsims_aqgy4_0004_00000,chsims,active
S0491,meld_dia307_utt9,meld,active
S0492,chsims_video_0022_0012,chsims,active
S0493,meld_dia344_utt15,meld,active
S0494,meld_dia214_utt3,meld,active
S0495,meld_dia130_utt6,meld,active
S0496,meld_dia301_utt9,meld,active
S0497,chsims_aqgy5_0021_00015,chsims,active
S0498,iemocap_Ses05F_script01_1_F024,iemocap,active
S0499,chsims_aqgy5_0009_00040,chsims,active
S0500,mustard_1_8452,mustard,active
S0501,chsims_video_0025_0036,chsims,active
S0502,mustard_1_11236,mustard,active
S0503,mustard_1_7047,mustard,active
S0504,mosi_atnd_PF-Lbs_13,mosi,active
S0505,meld_dia816_utt4,meld,active
S0506,meld_dia153_utt3,meld,active
S0507,iemocap_Ses05M_script02_2_F024,iemocap,active
S0508,iemocap_Ses02M_impro02_M013,iemocap,active
S0509,mosi_nzpVDcQ0ywM_21,mosi,active
S0510,iemocap_Ses03M_impro07_M003,iemocap,active
S0511,chsims_video_0017_0015,chsims,active
S0512,chsims_video_0025_0024,chsims,active
S0513,mosi_lXPQBPVc5Cw_7,mosi,active
S0514,iemocap_Ses05M_script03_2_M005,iemocap,active
S0515,chsims_video_0049_0002,chsims,active
S0516,meld_dia1012_utt4,meld,active
S0517,iemocap_Ses03M_script01_3_M000,iemocap,active
S0518,iemocap_Ses05M_impro01_M010,iemocap,active
S0519,chsims_video_0045_0020,chsims,active
S0520,mosi_dq3Nf_lMPnE_12,mosi,active
S0521,iemocap_Ses02M_script02_2_F010,iemocap,active
S0522,meld_dia869_utt13,meld,active
S0523,meld_dia561_utt9,meld,active
S0524,chsims_aqgy5_0031_00040,chsims,active
S0525,meld_dia640_utt12,meld,active
S0526,mosi_etzxEpPuc6I_7,mosi,active
S0527,iemocap_Ses05F_script03_2_F026,iemocap,active
S0528,mosi_Jkswaaud0hk_10,mosi,active
S0529,meld_dia392_utt12,meld,active
S0530,meld_dia89_utt4,meld,active
S0531,mosi_POKffnXeBds_9,mosi,active
S0532,chsims_video_0045_0049,chsims,active
S0533,mosi_lXPQBPVc5Cw_3,mosi,active
S0534,mosi_VCslbP0mgZI_17,mosi,active
S0535,iemocap_Ses03F_script01_1_F030,iemocap,active
S0536,mustard_1_6648,mustard,active
S0537,iemocap_Ses03F_script02_2_F012,iemocap,active
S0538,meld_dia1022_utt6,meld,active
S0539,chsims_aqgy5_0015_00011,chsims,active
S0540,iemocap_Ses01F_script02_1_F004,iemocap,active
S0541,meld_dia112_utt3,meld,active
S0542,meld_dia257_utt0,meld,active
S0543,iemocap_Ses02M_script01_2_F010,iemocap,active
S0544,meld_dia398_utt6,meld,active
S0545,iemocap_Ses03M_script01_1_F021,iemocap,active
S0546,iemocap_Ses04M_impro07_F003,iemocap,active
S0547,iemocap_Ses05M_script01_3_M040,iemocap,active
S0548,mosi_tmZoasNr4rU_10,mosi,active
S0549,chsims_aqgy5_0016_00023,chsims,active
S0550,meld_dia15_utt18,meld,active
S0551,meld_dia860_utt0,meld,active
S0552,mustard_2_443,mustard,active
S0553,iemocap_Ses02M_impro05_M001,iemocap,active
S0554,chsims_video_0024_0010,chsims,active
S0555,mosi_Sqr0AcuoNnk_6,mosi,active
S0556,iemocap_Ses04F_impro01_F010,iemocap,active
S0557,iemocap_Ses02F_script03_2_F028,iemocap,active
S0558,iemocap_Ses02F_script02_2_F038,iemocap,active
S0559,chsims_test2_00006,chsims,active
S0560,mosi_73jzhE8R1TQ_15,mosi,active
S0561,mosi_I5y0__X72p0_17,mosi,active
